host	 path	compressed size (bytes)	original size (bytes)	request start offset (sec)	 new TCP connection?	 new SSL handshake?	 original URL
i.ytimg.com	/vi/So9iCqdfUF4/mqdefault.jpg	8452	8391	1.380000	False	False	https://i.ytimg.com/vi/So9iCqdfUF4/mqdefault.jpg
i.ytimg.com	/vi/58kDMw779xc/mqdefault.jpg	8719	8664	1.380000	False	False	https://i.ytimg.com/vi/58kDMw779xc/mqdefault.jpg
yt3.ggpht.com	/-bY_OkstVA0g/AAAAAAAAAAI/AAAAAAAAAAA/x2CqwQ35Dco/s88-c-k-no/photo.jpg	10012	9958	1.387000	False	False	https://yt3.ggpht.com/-bY_OkstVA0g/AAAAAAAAAAI/AAAAAAAAAAA/x2CqwQ35Dco/s88-c-k-no/photo.jpg
yt3.ggpht.com	/-UqZ1JKav00Q/AAAAAAAAAAI/AAAAAAAAAAA/YKBnbgUTIKU/s88-c-k-no/photo.jpg	3576	3522	1.392000	False	False	https://yt3.ggpht.com/-UqZ1JKav00Q/AAAAAAAAAAI/AAAAAAAAAAA/YKBnbgUTIKU/s88-c-k-no/photo.jpg
yt3.ggpht.com	/-y1DFVpxdoJc/AAAAAAAAAAI/AAAAAAAAAAA/bYovaGjPenI/s88-c-k-no/photo.jpg	4984	4926	1.430000	False	False	https://yt3.ggpht.com/-y1DFVpxdoJc/AAAAAAAAAAI/AAAAAAAAAAA/bYovaGjPenI/s88-c-k-no/photo.jpg
yt3.ggpht.com	/-PS6pgnf-7pY/AAAAAAAAAAI/AAAAAAAAAAA/QCBjV6iZUBI/s88-c-k-no/photo.jpg	3320	3268	1.432000	False	False	https://yt3.ggpht.com/-PS6pgnf-7pY/AAAAAAAAAAI/AAAAAAAAAAA/QCBjV6iZUBI/s88-c-k-no/photo.jpg
yt3.ggpht.com	/-icjlceY943o/AAAAAAAAAAI/AAAAAAAAAAA/U0fuYSj5vJ0/s88-c-k-no/photo.jpg	4001	3938	1.433000	False	False	https://yt3.ggpht.com/-icjlceY943o/AAAAAAAAAAI/AAAAAAAAAAA/U0fuYSj5vJ0/s88-c-k-no/photo.jpg
s.ytimg.com	/yts/jsbin/spf-vflOkJjq1/spf.js	29595	29543	1.441000	False	False	https://s.ytimg.com/yts/jsbin/spf-vflOkJjq1/spf.js
s.ytimg.com	/yts/jsbin/www-en_US-vflSkXQEv/base.js	75223	75162	1.441000	False	False	https://s.ytimg.com/yts/jsbin/www-en_US-vflSkXQEv/base.js
ad.doubleclick.net	/N6762/adi/mkt.ythome_1x1/	422	26	1.442000	True	True	https://ad.doubleclick.net/N6762/adi/mkt.ythome_1x1/;sz=1x1;tile=3;ssl=1;dc_yt=1;kga=-1;kgg=-1;klg=en;kmyd=ad_creative_3;ytexp=943607,938688,939985,9405912;ord=2654059547930956?
s.ytimg.com	/yts/imgbin/www-hitchhiker-vflqZgjUU.png	43418	43354	1.581000	False	False	https://s.ytimg.com/yts/imgbin/www-hitchhiker-vflqZgjUU.png
